user,artid,artname,song
05101d258a32f7f2fc57593a45722d2b896a4d2f,22a40b75-affc-4e69-8884-266d087e4751,travis,233
05101d258a32f7f2fc57593a45722d2b896a4d2f,8a396a9c-2e4f-47e2-a587-c26e93a0953f,the go! team,227
05101d258a32f7f2fc57593a45722d2b896a4d2f,be407b02-f3e6-4ed5-9489-f8e5f0ab36dc,the raconteurs,217
05101d258a32f7f2fc57593a45722d2b896a4d2f,cf0f4547-ffbd-4011-98ad-0bec9ba022db,kings of convenience,215
05101d258a32f7f2fc57593a45722d2b896a4d2f,9403a688-503e-464e-bb37-84626c57bb42,kula shaker,213
05101d258a32f7f2fc57593a45722d2b896a4d2f,0741b30d-e15b-4a8c-b2e5-8834a03d6116,cold war kids,212
05101d258a32f7f2fc57593a45722d2b896a4d2f,6290b769-173d-49d1-990e-660a4e333877,the zutons,211
05101d258a32f7f2fc57593a45722d2b896a4d2f,fb1a017d-697d-48e6-8884-3ab3b41709ab,kelly joe phelps,203
05101d258a32f7f2fc57593a45722d2b896a4d2f,,bêbados habilidosos,197
05101d258a32f7f2fc57593a45722d2b896a4d2f,69b39eab-6577-46a4-a9f5-817839092033,kasabian,197
05101d258a32f7f2fc57593a45722d2b896a4d2f,11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,the white stripes,197
05101d258a32f7f2fc57593a45722d2b896a4d2f,a1c29c2f-778f-4b02-9ac7-80f0c37cdea9,sondre lerche,193
05101d258a32f7f2fc57593a45722d2b896a4d2f,e003b833-f0e1-46fb-8a05-4bf8d0a330ac,vanguart,192
05101d258a32f7f2fc57593a45722d2b896a4d2f,3cb3928a-526c-4a3d-93c5-53315fa9bde0,elbow,189
05101d258a32f7f2fc57593a45722d2b896a4d2f,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,arctic monkeys,186
05101d258a32f7f2fc57593a45722d2b896a4d2f,a96ac800-bfcb-412a-8a63-0a98df600700,modest mouse,181
05101d258a32f7f2fc57593a45722d2b896a4d2f,928303db-cf05-4b19-b11c-d3e5cec36915,mum,173
05101d258a32f7f2fc57593a45722d2b896a4d2f,94b0fb9d-a066-4823-b2ec-af1d324bcfcf,the velvet underground,169
05101d258a32f7f2fc57593a45722d2b896a4d2f,8475297d-fb78-4630-8d74-9b87b6bb7cc8,of montreal,166
05101d258a32f7f2fc57593a45722d2b896a4d2f,2119beb8-6ac5-4f21-82a4-b831c90c0024,damien rice,163
05101d258a32f7f2fc57593a45722d2b896a4d2f,80bb17e5-fff9-464c-8b07-4e7545c5296c,superphones,160
05101d258a32f7f2fc57593a45722d2b896a4d2f,168465cb-cafc-4650-a7aa-03dff8ffc6a6,the slackers,138
05101d258a32f7f2fc57593a45722d2b896a4d2f,815a0279-558c-4522-ac3b-6a1e259e95b5,canned heat,116
05101d258a32f7f2fc57593a45722d2b896a4d2f,f86f1f07-d182-45ce-ae93-ef610880ca72,muddy waters,105
05101d258a32f7f2fc57593a45722d2b896a4d2f,592b9a1b-b900-4c1a-a165-bd7e7ce87d23,groundation,66
05101d258a32f7f2fc57593a45722d2b896a4d2f,087fc778-c1ed-4f32-bff7-19f8eeba9e57,paulinho da viola,66
05101d258a32f7f2fc57593a45722d2b896a4d2f,e2f9c452-7eb0-4782-bc3e-36f2c456ffe0,augustus pablo,62
05101d258a32f7f2fc57593a45722d2b896a4d2f,448913ad-9a62-4278-abbe-07b35cae6c73,the greyboy allstars,56
05101d258a32f7f2fc57593a45722d2b896a4d2f,9e53f84d-ef44-4c16-9677-5fd4d78cbd7d,wilco,53
05101d258a32f7f2fc57593a45722d2b896a4d2f,87ac7e25-f278-47a0-b109-5eb131dc96b6,the skatalites,52
05101d258a32f7f2fc57593a45722d2b896a4d2f,cc37d0c1-493d-487e-9694-3cf48ae6370d,hypnotic brass ensemble,49
05101d258a32f7f2fc57593a45722d2b896a4d2f,3c3c2903-2107-4f79-aadc-319c118f35ba,billy bragg & wilco,48
05101d258a32f7f2fc57593a45722d2b896a4d2f,7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,queens of the stone age,48
05101d258a32f7f2fc57593a45722d2b896a4d2f,49474115-6ada-42ee-b92f-ce70a40ae9b5,móveis coloniais de acaju,44
05101d258a32f7f2fc57593a45722d2b896a4d2f,b0122194-c49a-46a1-ade7-84d1d76bd8e9,john lee hooker,42
05101d258a32f7f2fc57593a45722d2b896a4d2f,4b2c889c-b4ef-45df-b4f0-59bb1b6e2a41,the quantic soul orchestra,40
05101d258a32f7f2fc57593a45722d2b896a4d2f,975f6585-8c9c-442b-9512-b69eceb16acb,the beautiful girls,39
05101d258a32f7f2fc57593a45722d2b896a4d2f,928e7f57-cc64-477f-a314-6dcbe60eade7,velha guarda da portela,39
05101d258a32f7f2fc57593a45722d2b896a4d2f,07eb40a2-2914-439c-a01d-15a685b84ddf,the specials,38
05101d258a32f7f2fc57593a45722d2b896a4d2f,d82e9822-521a-4e20-bb22-9e944374cd40,max romeo,36
05101d258a32f7f2fc57593a45722d2b896a4d2f,7c743881-aed4-47d4-93d5-9fdd6e2904bb,cartola,35
05101d258a32f7f2fc57593a45722d2b896a4d2f,4bc09c51-5d42-4c93-9ba6-8cc21a0edb8d,them crooked vultures,33
05101d258a32f7f2fc57593a45722d2b896a4d2f,4e66c761-ecdc-41b1-844a-343571adb607,clutchy hopkins,32
05101d258a32f7f2fc57593a45722d2b896a4d2f,1582a5b8-538e-45e7-9ae4-4099439a0e79,ben harper,30
05101d258a32f7f2fc57593a45722d2b896a4d2f,1f9a69d9-c44a-4f1a-9cdb-583ac5534a64,hurtmold,29
05101d258a32f7f2fc57593a45722d2b896a4d2f,954b8871-0e31-432a-91a2-f29ba72b2137,the mighty imperials,28
05101d258a32f7f2fc57593a45722d2b896a4d2f,762f8713-15d0-45d7-b0d3-f989bfe1d233,curumin,26
05101d258a32f7f2fc57593a45722d2b896a4d2f,9beb62b2-88db-4cea-801e-162cd344ee53,beastie boys,25
05101d258a32f7f2fc57593a45722d2b896a4d2f,91636f0e-163c-4b8c-a355-d5127998d51f,ben harper and relentless7,23
05101d258a32f7f2fc57593a45722d2b896a4d2f,33b3c323-77c2-417c-a5b4-af7e6a111cc9,the jimi hendrix experience,23
05101d258a32f7f2fc57593a45722d2b896a4d2f,06fb1c8b-566e-4cb2-985b-b467c90781d4,jimi hendrix,21
05101d258a32f7f2fc57593a45722d2b896a4d2f,e3954b21-0d05-45ea-a057-e8cc4c9b1ab5,nação zumbi,21
05101d258a32f7f2fc57593a45722d2b896a4d2f,446ac261-09ae-43f4-a7e1-2c753c0813ce,tim maia,21
05101d258a32f7f2fc57593a45722d2b896a4d2f,7d9c88f0-382a-4ff1-8a95-4ebd23f4c9cf,china,20
05101d258a32f7f2fc57593a45722d2b896a4d2f,678d88b2-87b0-403b-b63d-5da7465aecc3,led zeppelin,19
05101d258a32f7f2fc57593a45722d2b896a4d2f,c7a2ba91-4efd-4ac5-b5ae-d2c238dbfb88,long beach dub all stars,19
05101d258a32f7f2fc57593a45722d2b896a4d2f,f205743d-4441-471d-a3af-66f584738e29,skip james,19
05101d258a32f7f2fc57593a45722d2b896a4d2f,29730ee3-e1c7-4e28-9ccd-3a0e6b0e8103,toots and the maytals,19
05101d258a32f7f2fc57593a45722d2b896a4d2f,4756395c-57ed-4a63-afb2-01117f14dff6,john mayall & the bluesbreakers,18
05101d258a32f7f2fc57593a45722d2b896a4d2f,9d1ebcfe-4c15-4d18-95d3-d919898638a1,lou reed,18
05101d258a32f7f2fc57593a45722d2b896a4d2f,d59c4cda-11d9-48db-8bfe-b557ee602aed,billie holiday,17
05101d258a32f7f2fc57593a45722d2b896a4d2f,dd8b47a9-fb4a-4c54-a590-b5f8628cba21,monarco,17
05101d258a32f7f2fc57593a45722d2b896a4d2f,82b1f5fd-cd31-41a9-b5d4-7e33f0eb9751,otis redding,17
05101d258a32f7f2fc57593a45722d2b896a4d2f,794c6bf2-3241-416f-9b8f-24e2d84a1c4b,the stooges,17
05101d258a32f7f2fc57593a45722d2b896a4d2f,c3aeb863-7b26-4388-94e8-5a240f2be21b,tom waits,17
05101d258a32f7f2fc57593a45722d2b896a4d2f,927bed14-bae2-4f2d-bc37-4d0562775d31,itamar assumpção,16
05101d258a32f7f2fc57593a45722d2b896a4d2f,cafd8dd0-500e-4d87-938f-2c9dae2a6ef1,mundo livre s/a,16
05101d258a32f7f2fc57593a45722d2b896a4d2f,453dab0c-aa5f-4091-bf58-64dead0d06b8,the souljazz orchestra,16
05101d258a32f7f2fc57593a45722d2b896a4d2f,2bfbd369-882a-4f23-a603-6d3aac8001cc,funk como le gusta,15
05101d258a32f7f2fc57593a45722d2b896a4d2f,24c1a4f1-6de0-46a5-bcec-88167a33b18d,katchafire,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,c5d755c1-166a-46b3-8f67-53070a63df00,blonker,51
00cea3f9ae84d466dc8cda584e27652c0b359b97,7944ed53-2a58-4035-9b93-140a71e41c34,sting,45
00cea3f9ae84d466dc8cda584e27652c0b359b97,4b0be624-6b87-47e8-bbf0-588a2c6c0439,j.j. cale,44
00cea3f9ae84d466dc8cda584e27652c0b359b97,6aa40207-fec8-43a7-991d-b872a42def05,amy macdonald,37
00cea3f9ae84d466dc8cda584e27652c0b359b97,e49f69da-17d5-4c5c-bac0-dadcb0e588f5,mark knopfler,33
00cea3f9ae84d466dc8cda584e27652c0b359b97,20e903b8-4b5f-414a-a467-dd6e46933d3e,udo jürgens,32
00cea3f9ae84d466dc8cda584e27652c0b359b97,f98711e5-06f7-43ed-8239-da0f61a9c460,the alan parsons project,31
00cea3f9ae84d466dc8cda584e27652c0b359b97,821e11d6-cfec-44a7-9615-06a4e631c975,focus,30
00cea3f9ae84d466dc8cda584e27652c0b359b97,456eabce-d1dd-4481-a206-36ab4f2eaeb8,herbert grönemeyer,29
00cea3f9ae84d466dc8cda584e27652c0b359b97,ab7d49fa-c383-4c41-b890-3fe68e559dc4,al stewart,28
00cea3f9ae84d466dc8cda584e27652c0b359b97,614e3804-7d34-41ba-857f-811bad7c2b7a,dire straits,27
00cea3f9ae84d466dc8cda584e27652c0b359b97,50ceff2e-e963-4fca-a835-60a7c9d99418,höhner,27
00cea3f9ae84d466dc8cda584e27652c0b359b97,80d07b5b-35b1-4d58-a72e-49ac98cba13f,roger whittaker,27
00cea3f9ae84d466dc8cda584e27652c0b359b97,12f0f1a6-d1e2-4a7c-9c0a-3e7f296db5ab,söhne mannheims,27
00cea3f9ae84d466dc8cda584e27652c0b359b97,5d02f264-e225-41ff-83f7-d9b1f0b1874a,simon & garfunkel,26
00cea3f9ae84d466dc8cda584e27652c0b359b97,550d05fc-d62d-4795-a01a-45a75dfc47b4,trude herr,25
00cea3f9ae84d466dc8cda584e27652c0b359b97,79491354-3d83-40e3-9d8e-7592d58d790a,deep purple,24
00cea3f9ae84d466dc8cda584e27652c0b359b97,86e2e2ad-6d1b-44fd-9463-b6683718a1cc,jean-michel jarre,24
00cea3f9ae84d466dc8cda584e27652c0b359b97,774666d2-2064-4d6c-856c-f8cda0aaf9f0,the moody blues,24
00cea3f9ae84d466dc8cda584e27652c0b359b97,9e0e2b01-41db-4008-bd8b-988977d6019a,the police,24
00cea3f9ae84d466dc8cda584e27652c0b359b97,a1684a49-feaa-4150-b758-d9412fc59f12,mike oldfield,23
00cea3f9ae84d466dc8cda584e27652c0b359b97,594975dc-8c10-4b1c-9bc5-ff47f3255981,ricky king,23
00cea3f9ae84d466dc8cda584e27652c0b359b97,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,vangelis,23
00cea3f9ae84d466dc8cda584e27652c0b359b97,ece57992-dc2e-4f67-a269-fa43626c1a3d,jethro tull,22
00cea3f9ae84d466dc8cda584e27652c0b359b97,bf24ca37-25f4-4e34-9aec-460b94364cfc,shakira,22
00cea3f9ae84d466dc8cda584e27652c0b359b97,8e3fcd7d-bda1-4ca0-b987-b8528d2ee74e,genesis,21
00cea3f9ae84d466dc8cda584e27652c0b359b97,f46bd570-5768-462e-b84c-c7c993bbf47e,eagles,20
00cea3f9ae84d466dc8cda584e27652c0b359b97,b4ce8f8f-72f9-48f0-92be-606095d4b6e0,peter maffay,20
00cea3f9ae84d466dc8cda584e27652c0b359b97,44119570-4d53-46e7-a447-bd18608c28d8,procol harum,20
00cea3f9ae84d466dc8cda584e27652c0b359b97,9774cfd1-8862-42bd-919e-156c31f079b4,alan parsons,19
00cea3f9ae84d466dc8cda584e27652c0b359b97,bf0f7e29-dfe1-416c-b5c6-f9ebc19ea810,bee gees,18
00cea3f9ae84d466dc8cda584e27652c0b359b97,0c502791-4ee9-4c5f-9696-0602b721ff3b,electric light orchestra,18
00cea3f9ae84d466dc8cda584e27652c0b359b97,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,bob marley,17
00cea3f9ae84d466dc8cda584e27652c0b359b97,a7ebbbb1-d29f-4e4a-8657-e687efc72ac5,die prinzen,17
00cea3f9ae84d466dc8cda584e27652c0b359b97,dac9ecce-3e52-4040-8bda-c3b294d65c24,juliane werding,17
00cea3f9ae84d466dc8cda584e27652c0b359b97,d2ff6b6b-fc30-48dc-8952-06f9d8fc64f8,supertramp,17
00cea3f9ae84d466dc8cda584e27652c0b359b97,d4305549-6b4e-4a57-b24d-8af0743fe191,the hollies,17
00cea3f9ae84d466dc8cda584e27652c0b359b97,8d3c6a3c-4d97-455c-ad07-3fefc0172861,udo lindenberg,17
00cea3f9ae84d466dc8cda584e27652c0b359b97,618b6900-0618-4f1e-b835-bccb17f84294,eric clapton,16
00cea3f9ae84d466dc8cda584e27652c0b359b97,506aa5b0-c6fb-4a69-8dd3-f06a369d5abc,howard carpendale,16
00cea3f9ae84d466dc8cda584e27652c0b359b97,a61930ae-dfe3-4574-bc5b-b0fa8d8efb62,ibrahim ferrer,16
00cea3f9ae84d466dc8cda584e27652c0b359b97,2e433b57-1e40-4a8f-b38d-7675fda5698a,matthias reim,16
00cea3f9ae84d466dc8cda584e27652c0b359b97,0f50beab-d77d-4f0f-ac26-0b87d3e9b11b,roger waters,16
00cea3f9ae84d466dc8cda584e27652c0b359b97,70261540-4efc-4f62-8573-fdb68d6c2213,bap,15
00cea3f9ae84d466dc8cda584e27652c0b359b97,109958eb-a335-4c5e-907e-597ff4c6af46,creedence clearwater revival,15
00cea3f9ae84d466dc8cda584e27652c0b359b97,34ec9a8d-c65b-48fd-bcdd-aad2f72fdb47,love,15
00cea3f9ae84d466dc8cda584e27652c0b359b97,c8c3beb5-d213-40e6-9ef6-d4e1cad59e12,melanie,15
00cea3f9ae84d466dc8cda584e27652c0b359b97,120d7ba0-73e1-4e96-98e3-e75f60f232e8,scott mckenzie,15
00cea3f9ae84d466dc8cda584e27652c0b359b97,87f8339a-625e-4912-939e-8b62836c159d,bläck fööss,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,5adb8b74-54b8-4700-836e-550b6a2a2f71,cat stevens,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,8b8ab7a4-add8-4353-a586-e1086e521af8,compay segundo,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,66b52292-10db-4f3f-97be-86d699f58117,eroc,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,efa2f016-ec5f-4a12-9857-c2801ea4704b,roland kaiser,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,835a6d9c-fea0-4a71-ae52-9c4da946433a,styx,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,ebfc1398-8d96-47e3-82c3-f782abcdb13d,the beach boys,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,2819834e-4e08-47b0-a2c4-b7672318e8f0,the byrds,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,17b53d9f-5c63-4a09-a593-dde4608e0db9,the kinks,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,ff294730-0315-440d-a543-54005779c15b,the mamas & the papas,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa,the who,14
00cea3f9ae84d466dc8cda584e27652c0b359b97,3ab1e5df-cd3b-479e-a756-3f326cea5572,barclay james harvest,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,1c40511d-7a1a-446a-b258-ad4940cb3214,budka suflera,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,2a85ecff-41e9-4be1-aca6-c87054a4c334,buena vista social club,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,fcca1e87-8943-464c-bb5c-68a4d3718185,dorthe,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,57cf7d67-5372-420a-9c89-77c7513d6506,hans-joachim roedelius,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,91eda19b-1437-42cd-b7af-69df24b7f275,jacques brel,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,3cb25fb2-5547-4b05-adec-1a5e37830d46,lionel richie,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,1932f5b6-0b7b-4050-b1df-833ca89e5f44,marillion,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,c2e36518-9c3b-4dcb-82ad-a3fc7fe99c67,nancy sinatra,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,e4d32f51-bc57-42a4-8165-b80f7a86496d,nina hagen,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,40e69149-45a7-4dab-8128-c5a4d9654eeb,petula clark,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,2ad06109-0a52-4b7b-8b7a-ca7c10baf597,rick wakeman,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,210bf857-3387-4a7e-9301-7eb9c66800d6,roger hodgson,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,1884ed9c-6fe1-468d-a7f8-8d19c9c4e441,status quo,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,f1548c5b-329e-4036-921c-02213a04b525,uriah heep,13
00cea3f9ae84d466dc8cda584e27652c0b359b97,1de1abbd-d800-41e6-9967-d3f904b2bb80,peggy march,10
00cea3f9ae84d466dc8cda584e27652c0b359b97,165e2705-abf7-4f1b-8971-4ceed8769c4d,smokie,10
00cea3f9ae84d466dc8cda584e27652c0b359b97,c8e8417b-3083-479a-84ef-0763a2b7ed65,bernd spier,9
00cea3f9ae84d466dc8cda584e27652c0b359b97,10686546-c3b3-43fd-8b94-ef953920f8b5,cliff richard & the shadows,9
00cea3f9ae84d466dc8cda584e27652c0b359b97,17995d1c-5b3c-4ee9-98f5-105ee3b4ada1,eddie cochran,9
00cea3f9ae84d466dc8cda584e27652c0b359b97,539b3603-0f8d-4ef5-a2d8-fd4897660f8b,gitte,9
00cea3f9ae84d466dc8cda584e27652c0b359b97,cf1573d6-b9e3-4e93-ae74-7c18886acf06,peter & gordon,9
00cea3f9ae84d466dc8cda584e27652c0b359b97,331ce348-1b08-40b9-8ed7-0763b92bd003,roxy music,9
00cea3f9ae84d466dc8cda584e27652c0b359b97,fc9ec2b3-b44a-4dad-8bc3-ff3738ee02ae,herman's hermits,8
00cea3f9ae84d466dc8cda584e27652c0b359b97,4aec87a5-f33e-4bd6-89f2-0c96188c8372,the troggs,8
00cea3f9ae84d466dc8cda584e27652c0b359b97,01e708f5-bb89-44b5-84db-df544cff636d,tommy roe,8
00cea3f9ae84d466dc8cda584e27652c0b359b97,89ad4ac3-39f7-470e-963a-56509c546377,various artists,8
00cea3f9ae84d466dc8cda584e27652c0b359b97,69d0a377-e815-43a7-a8bb-f74ca4ead721,1910 fruitgum company,7
00cea3f9ae84d466dc8cda584e27652c0b359b97,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,fleetwood mac,7
00cea3f9ae84d466dc8cda584e27652c0b359b97,39c2a93d-9afa-4a22-9bba-c087ab056e1c,jefferson airplane,7
00cea3f9ae84d466dc8cda584e27652c0b359b97,ff4c52e6-a0da-48c0-b7a1-76d54def47c5,john's children,7
00cea3f9ae84d466dc8cda584e27652c0b359b97,d87e52c5-bb8d-4da8-b941-9f4928627dc8,abba,6
00cea3f9ae84d466dc8cda584e27652c0b359b97,3b4db0d5-97a8-4aa8-a375-9b8c78a56932,michael rother,6
00cea3f9ae84d466dc8cda584e27652c0b359b97,88f219d8-4140-4191-af4b-de81c7c587c4,nazareth,6
00cea3f9ae84d466dc8cda584e27652c0b359b97,83d91898-7763-47d7-b03b-b92132375c47,pink floyd,6
00cea3f9ae84d466dc8cda584e27652c0b359b97,73a2daa7-9469-4789-bd2d-41c48831d614,rue du soleil,6
0c7f916b32fca1be89c777f2f30f91dc6383dfba,27613b78-1b9d-4ec3-9db5-fa0743465fdd,herbie hancock,484
0c7f916b32fca1be89c777f2f30f91dc6383dfba,a505bb48-ad65-4af4-ae47-29149715bff9,thievery corporation,404
0c7f916b32fca1be89c777f2f30f91dc6383dfba,b370defd-86cc-42f3-85b4-7c2a8305c04a,us3,356
0c7f916b32fca1be89c777f2f30f91dc6383dfba,5c47ccd3-3f82-46b9-96b8-efdffc83f269,de-phazz,355
0c7f916b32fca1be89c777f2f30f91dc6383dfba,561d854a-6a28-4aa7-8c99-323e6ce46c2a,miles davis,300
0c7f916b32fca1be89c777f2f30f91dc6383dfba,1a88b270-d763-48d5-a62c-2bb9cabb140c,grant green,272
0c7f916b32fca1be89c777f2f30f91dc6383dfba,ddf15f3a-df92-4712-a874-c91719e1fac2,izrael,271
0c7f916b32fca1be89c777f2f30f91dc6383dfba,678d88b2-87b0-403b-b63d-5da7465aecc3,led zeppelin,230
0c7f916b32fca1be89c777f2f30f91dc6383dfba,58f23499-f263-4772-9b7a-2f6cd2fe428f,jimmy mcgriff,223
0c7f916b32fca1be89c777f2f30f91dc6383dfba,069c1f30-fd2a-4342-924a-cca7c605807f,dianne reeves,211
0c7f916b32fca1be89c777f2f30f91dc6383dfba,b071f9fa-14b0-4217-8e97-eb41da73f598,the rolling stones,205
0c7f916b32fca1be89c777f2f30f91dc6383dfba,c296e10c-110a-4103-9e77-47bfebb7fb2e,bob marley & the wailers,204
0c7f916b32fca1be89c777f2f30f91dc6383dfba,fe1a873d-2000-4789-a895-4187fe756203,parov stelar,192
0c7f916b32fca1be89c777f2f30f91dc6383dfba,e390d54f-92f0-4039-9dd3-e8eac130b4c0,nicola conte,180
0c7f916b32fca1be89c777f2f30f91dc6383dfba,29730ee3-e1c7-4e28-9ccd-3a0e6b0e8103,toots and the maytals,172
0c7f916b32fca1be89c777f2f30f91dc6383dfba,69f95e5c-4b34-4c8b-b8fe-c59f9296195a,donald byrd,154
0c7f916b32fca1be89c777f2f30f91dc6383dfba,449d58a3-3a99-4a8c-9611-d3654849f4f6,vavamuffin,149
0c7f916b32fca1be89c777f2f30f91dc6383dfba,39e32995-6515-40b2-a6f0-841524047edc,katie melua,137
0c7f916b32fca1be89c777f2f30f91dc6383dfba,a85b66d2-34df-4d5a-8c0d-d585b8a14ce1,kenny burrell,127
0c7f916b32fca1be89c777f2f30f91dc6383dfba,592b9a1b-b900-4c1a-a165-bd7e7ce87d23,groundation,123
0c7f916b32fca1be89c777f2f30f91dc6383dfba,3b8403b6-72c8-4953-b966-5fc555923baf,sonny boy williamson,118
0c7f916b32fca1be89c777f2f30f91dc6383dfba,271973a1-7177-4bcf-9a01-ac75d3691035,nneka,117
0c7f916b32fca1be89c777f2f30f91dc6383dfba,a4c73ebe-b2c7-4f13-b99d-2fe1f9f27da8,cannonball adderley,101
0c7f916b32fca1be89c777f2f30f91dc6383dfba,de0222a6-e1c4-403d-8b01-3f66d505061b,dave brubeck,101
0c7f916b32fca1be89c777f2f30f91dc6383dfba,35723b60-732e-4bd8-957f-320b416e7b7f,groove armada,100
0c7f916b32fca1be89c777f2f30f91dc6383dfba,3d49e36a-cc9e-411e-93c6-d1646ba5bd3a,the staple singers,97
0c7f916b32fca1be89c777f2f30f91dc6383dfba,97f3a6c0-fe2d-465a-919a-4269cbb735d6,boozoo bajou,95
0c7f916b32fca1be89c777f2f30f91dc6383dfba,f94db5b3-9260-4e81-9d35-6806e50c713f,marlena shaw,94
0c7f916b32fca1be89c777f2f30f91dc6383dfba,b7eb7b38-7f51-45e9-b583-64303b24eabe,lonnie liston smith,93
0c7f916b32fca1be89c777f2f30f91dc6383dfba,9beb62b2-88db-4cea-801e-162cd344ee53,beastie boys,90
0c7f916b32fca1be89c777f2f30f91dc6383dfba,db147d97-f5cf-4e80-9e1a-08ddcb1d0bf8,lou donaldson,88
0c7f916b32fca1be89c777f2f30f91dc6383dfba,11169133-202b-43fc-8efd-8155ec7e659d,the five corners quintet,84
0c7f916b32fca1be89c777f2f30f91dc6383dfba,b1fb6a18-1626-4011-80fb-eaf83dfebcb6,jill scott,83
